Course ID,Title,Description,Tags
ME150,Material Science Fundamentals,Learn the core concepts of Material Science with hands-on examples and projects.,mechanical
EL193,Signal Processing Fundamentals,Learn the core concepts of Signal Processing with hands-on examples and projects.,electrical
ML271,ML Deployment Fundamentals,Learn the core concepts of ML Deployment with hands-on examples and projects.,ml
EL202,Signal Processing Fundamentals,Learn the core concepts of Signal Processing with hands-on examples and projects.,electrical
ML299,Model Evaluation Fundamentals,Learn the core concepts of Model Evaluation with hands-on examples and projects.,ml
ME151,Heat Transfer Fundamentals,Learn the core concepts of Heat Transfer with hands-on examples and projects.,mechanical
EL190,Embedded Systems Fundamentals,Learn the core concepts of Embedded Systems with hands-on examples and projects.,electrical
ME141,Fluid Mechanics Fundamentals,Learn the core concepts of Fluid Mechanics with hands-on examples and projects.,mechanical
ML285,ML Deployment Fundamentals,Learn the core concepts of ML Deployment with hands-on examples and projects.,ml
ML283,Unsupervised Learning Fundamentals,Learn the core concepts of Unsupervised Learning with hands-on examples and projects.,ml
ME148,Fluid Mechanics Fundamentals,Learn the core concepts of Fluid Mechanics with hands-on examples and projects.,mechanical
TE119,DevOps Fundamentals,Learn the core concepts of DevOps with hands-on examples and projects.,tech
DA314,Pandas Fundamentals,Learn the core concepts of Pandas with hands-on examples and projects.,data science
DA335,Data Visualization Fundamentals,Learn the core concepts of Data Visualization with hands-on examples and projects.,data science
EL212,Digital Electronics Fundamentals,Learn the core concepts of Digital Electronics with hands-on examples and projects.,electrical
AI253,Computer Vision Fundamentals,Learn the core concepts of Computer Vision with hands-on examples and projects.,ai
EL196,Signal Processing Fundamentals,Learn the core concepts of Signal Processing with hands-on examples and projects.,electrical
ME158,Kinematics Fundamentals,Learn the core concepts of Kinematics with hands-on examples and projects.,mechanical
DA323,SQL Fundamentals,Learn the core concepts of SQL with hands-on examples and projects.,data science
EL213,Power Systems Fundamentals,Learn the core concepts of Power Systems with hands-on examples and projects.,electrical
EL208,Power Systems Fundamentals,Learn the core concepts of Power Systems with hands-on examples and projects.,electrical
AI238,AI Ethics Fundamentals,Learn the core concepts of AI Ethics with hands-on examples and projects.,ai
TE126,Cloud Fundamentals,Learn the core concepts of Cloud with hands-on examples and projects.,tech
DA315,Statistics Fundamentals,Learn the core concepts of Statistics with hands-on examples and projects.,data science
AI230,Computer Vision Fundamentals,Learn the core concepts of Computer Vision with hands-on examples and projects.,ai
ME177,Kinematics Fundamentals,Learn the core concepts of Kinematics with hands-on examples and projects.,mechanical
ME153,Thermodynamics Fundamentals,Learn the core concepts of Thermodynamics with hands-on examples and projects.,mechanical
ML261,Unsupervised Learning Fundamentals,Learn the core concepts of Unsupervised Learning with hands-on examples and projects.,ml
ML295,Unsupervised Learning Fundamentals,Learn the core concepts of Unsupervised Learning with hands-on examples and projects.,ml
ML296,Model Evaluation Fundamentals,Learn the core concepts of Model Evaluation with hands-on examples and projects.,ml
ME165,CAD Fundamentals,Learn the core concepts of CAD with hands-on examples and projects.,mechanical
DA321,Data Visualization Fundamentals,Learn the core concepts of Data Visualization with hands-on examples and projects.,data science
TE139,Data Science Fundamentals,Learn the core concepts of Data Science with hands-on examples and projects.,tech
AI234,Deep Learning Fundamentals,Learn the core concepts of Deep Learning with hands-on examples and projects.,ai
TE136,AI Fundamentals,Learn the core concepts of AI with hands-on examples and projects.,tech
EL219,Digital Electronics Fundamentals,Learn the core concepts of Digital Electronics with hands-on examples and projects.,electrical
AI250,Neural Networks Fundamentals,Learn the core concepts of Neural Networks with hands-on examples and projects.,ai
TE120,Web Dev Fundamentals,Learn the core concepts of Web Dev with hands-on examples and projects.,tech
AI231,Computer Vision Fundamentals,Learn the core concepts of Computer Vision with hands-on examples and projects.,ai
ME157,Heat Transfer Fundamentals,Learn the core concepts of Heat Transfer with hands-on examples and projects.,mechanical
AI237,Deep Learning Fundamentals,Learn the core concepts of Deep Learning with hands-on examples and projects.,ai
ME156,Thermodynamics Fundamentals,Learn the core concepts of Thermodynamics with hands-on examples and projects.,mechanical
DA318,Data Visualization Fundamentals,Learn the core concepts of Data Visualization with hands-on examples and projects.,data science
DA303,SQL Fundamentals,Learn the core concepts of SQL with hands-on examples and projects.,data science
AI239,NLP Fundamentals,Learn the core concepts of NLP with hands-on examples and projects.,ai
DA307,Pandas Fundamentals,Learn the core concepts of Pandas with hands-on examples and projects.,data science
ME179,Robotics Fundamentals,Learn the core concepts of Robotics with hands-on examples and projects.,mechanical
EL198,Digital Electronics Fundamentals,Learn the core concepts of Digital Electronics with hands-on examples and projects.,electrical
TE109,Web Dev Fundamentals,Learn the core concepts of Web Dev with hands-on examples and projects.,tech
AI246,NLP Fundamentals,Learn the core concepts of NLP with hands-on examples and projects.,ai
ME176,Fluid Mechanics Fundamentals,Learn the core concepts of Fluid Mechanics with hands-on examples and projects.,mechanical
DA304,Pandas Fundamentals,Learn the core concepts of Pandas with hands-on examples and projects.,data science
DA319,Big Data Fundamentals,Learn the core concepts of Big Data with hands-on examples and projects.,data science
EL204,Circuit Analysis Fundamentals,Learn the core concepts of Circuit Analysis with hands-on examples and projects.,electrical
DA309,Statistics Fundamentals,Learn the core concepts of Statistics with hands-on examples and projects.,data science
TE129,Cloud Fundamentals,Learn the core concepts of Cloud with hands-on examples and projects.,tech
DA332,Pandas Fundamentals,Learn the core concepts of Pandas with hands-on examples and projects.,data science
TE121,C++ Fundamentals,Learn the core concepts of C++ with hands-on examples and projects.,tech
ML297,Supervised Learning Fundamentals,Learn the core concepts of Supervised Learning with hands-on examples and projects.,ml
ML290,Decision Trees Fundamentals,Learn the core concepts of Decision Trees with hands-on examples and projects.,ml
AI255,AI Ethics Fundamentals,Learn the core concepts of AI Ethics with hands-on examples and projects.,ai
TE127,C++ Fundamentals,Learn the core concepts of C++ with hands-on examples and projects.,tech
ML262,Decision Trees Fundamentals,Learn the core concepts of Decision Trees with hands-on examples and projects.,ml
ME154,Material Science Fundamentals,Learn the core concepts of Material Science with hands-on examples and projects.,mechanical
TE131,Java Fundamentals,Learn the core concepts of Java with hands-on examples and projects.,tech
AI251,Deep Learning Fundamentals,Learn the core concepts of Deep Learning with hands-on examples and projects.,ai
EL201,Control Systems Fundamentals,Learn the core concepts of Control Systems with hands-on examples and projects.,electrical
DA320,Pandas Fundamentals,Learn the core concepts of Pandas with hands-on examples and projects.,data science
ME161,Heat Transfer Fundamentals,Learn the core concepts of Heat Transfer with hands-on examples and projects.,mechanical
ML278,Decision Trees Fundamentals,Learn the core concepts of Decision Trees with hands-on examples and projects.,ml
AI229,Neural Networks Fundamentals,Learn the core concepts of Neural Networks with hands-on examples and projects.,ai
AI226,AI Ethics Fundamentals,Learn the core concepts of AI Ethics with hands-on examples and projects.,ai
AI227,Prompt Engineering Fundamentals,Learn the core concepts of Prompt Engineering with hands-on examples and projects.,ai
EL206,Embedded Systems Fundamentals,Learn the core concepts of Embedded Systems with hands-on examples and projects.,electrical
ML291,ML Deployment Fundamentals,Learn the core concepts of ML Deployment with hands-on examples and projects.,ml
EL211,Circuit Analysis Fundamentals,Learn the core concepts of Circuit Analysis with hands-on examples and projects.,electrical
ME164,Heat Transfer Fundamentals,Learn the core concepts of Heat Transfer with hands-on examples and projects.,mechanical
ME166,Heat Transfer Fundamentals,Learn the core concepts of Heat Transfer with hands-on examples and projects.,mechanical
EL218,Circuit Analysis Fundamentals,Learn the core concepts of Circuit Analysis with hands-on examples and projects.,electrical
EL191,Power Systems Fundamentals,Learn the core concepts of Power Systems with hands-on examples and projects.,electrical
ME170,Fluid Mechanics Fundamentals,Learn the core concepts of Fluid Mechanics with hands-on examples and projects.,mechanical
TE116,Python Fundamentals,Learn the core concepts of Python with hands-on examples and projects.,tech
TE118,AI Fundamentals,Learn the core concepts of AI with hands-on examples and projects.,tech
AI256,Computer Vision Fundamentals,Learn the core concepts of Computer Vision with hands-on examples and projects.,ai
TE105,Data Structures Fundamentals,Learn the core concepts of Data Structures with hands-on examples and projects.,tech
TE134,DevOps Fundamentals,Learn the core concepts of DevOps with hands-on examples and projects.,tech
DA322,Numpy Fundamentals,Learn the core concepts of Numpy with hands-on examples and projects.,data science
ML292,ML Deployment Fundamentals,Learn the core concepts of ML Deployment with hands-on examples and projects.,ml
AI222,Neural Networks Fundamentals,Learn the core concepts of Neural Networks with hands-on examples and projects.,ai
ML276,Supervised Learning Fundamentals,Learn the core concepts of Supervised Learning with hands-on examples and projects.,ml
ML279,Supervised Learning Fundamentals,Learn the core concepts of Supervised Learning with hands-on examples and projects.,ml
TE113,C++ Fundamentals,Learn the core concepts of C++ with hands-on examples and projects.,tech
EL200,Signal Processing Fundamentals,Learn the core concepts of Signal Processing with hands-on examples and projects.,electrical
ML270,Decision Trees Fundamentals,Learn the core concepts of Decision Trees with hands-on examples and projects.,ml
DA312,Numpy Fundamentals,Learn the core concepts of Numpy with hands-on examples and projects.,data science
DA338,Data Visualization Fundamentals,Learn the core concepts of Data Visualization with hands-on examples and projects.,data science
